Generic Name,SMILES,SMILES (InChI Key),Confidence,Permeability Class,Papp (*10E-6 cm/s)
Ethyl isovalerate,CCOC(=O)CC(C)C,PPXUHEORWJQRHJ-UHFFFAOYSA-N,HIGH CONFIDENCE,High permeability,97.02197831
Pentyl butanoate,CCCCCOC(=O)CCC,CFNJLPHOBMVMNS-UHFFFAOYSA-N,HIGH CONFIDENCE,High permeability,91.53915398
Ethyl propionate,CCOC(=O)CC,FKRCODPIKNYEAC-UHFFFAOYSA-N,HIGH CONFIDENCE,High permeability,90.28851793
"(E,E)-2,4-Hexadienal",C/C=C/C=C\C=O,BATOPAZDIZEVQF-UHFFFAOYSA-N,HIGH CONFIDENCE,High permeability,87.06008548
3-Nonanone,CCCCCCC(=O)CC,IYTXKIXETAELAV-UHFFFAOYSA-N,HIGH CONFIDENCE,High permeability,83.33336383
Methyl butyrate,CCCC(=O)OC,UUIQMZJEGPQKFD-UHFFFAOYSA-N,HIGH CONFIDENCE,High permeability,80.9658706
Capryloylcholine,CCCCCCCC(=O)OCC[N+](C)(C)C,AKYPZHWYYXDGEW-UHFFFAOYSA-N,HIGH CONFIDENCE,High permeability,75.67057212
3-Methyl-2-pentanone,CCC(C)C(C)=O,UIHCLUNTQKBZGK-UHFFFAOYSA-N,HIGH CONFIDENCE,High permeability,74.28497224
Methyl acetate,COC(C)=O,KXKVLQRXCPHEJC-UHFFFAOYSA-N,HIGH CONFIDENCE,High permeability,67.56007007
1-Octene,C=CCCCCCC,KWKAKUADMBZCLK-UHFFFAOYSA-N,HIGH CONFIDENCE,High permeability,64.63937361
Ethyl acetate,CCOC(C)=O,XEKOWRVHYACXOJ-UHFFFAOYSA-N,HIGH CONFIDENCE,High permeability,64.10418705
Pentyl formate,CCCCCOC=O,DIQMPQMYFZXDAX-UHFFFAOYSA-N,HIGH CONFIDENCE,High permeability,63.2981705
Nonanal,CCCCCCCCC=O,GYHFUZHODSMOHU-UHFFFAOYSA-N,HIGH CONFIDENCE,High permeability,59.89301645
Isoquinoline,C1=CC=C2C=NC=CC2=C1,AWJUIBRHMBBTKR-UHFFFAOYSA-N,HIGH CONFIDENCE,High permeability,59.47744518
2-Heptanone,CCCCCC(C)=O,CATSNJVOTSVZJV-UHFFFAOYSA-N,HIGH CONFIDENCE,High permeability,58.99893161
Heptanal,CCCCCCC=O,FXHGMKSSBGDXIY-UHFFFAOYSA-N,HIGH CONFIDENCE,High permeability,58.99893161
2-Oxohexane,CCCCC(C)=O,QQZOPKMRPOGIEB-UHFFFAOYSA-N,HIGH CONFIDENCE,High permeability,57.53737238
Hexanal,CCCCCC=O,JARKCYVAAOWBJS-UHFFFAOYSA-N,HIGH CONFIDENCE,High permeability,57.53737238
Sulcatone,CC(=O)CCC=C(C)C,UHEPJGULSIKKTP-UHFFFAOYSA-N,HIGH CONFIDENCE,High permeability,57.50621558
4-Methylpentanal,CC(C)CCC=O,JGEGJYXHCFUMJF-UHFFFAOYSA-N,HIGH CONFIDENCE,High permeability,57.23105232
"1,2-Benzoquinone",O=C1C=CC=CC1=O,WOAHJDHKFWSLKE-UHFFFAOYSA-N,HIGH CONFIDENCE,High permeability,55.10511756
Toluene,CC1=CC=CC=C1,YXFVVABEGXRONW-UHFFFAOYSA-N,HIGH CONFIDENCE,High permeability,54.42952067
Pentanal,CCCCC=O,HGBOYTHUEUWSSQ-UHFFFAOYSA-N,HIGH CONFIDENCE,High permeability,53.7033337
2-Pentanone,CCCC(C)=O,XNLICIUVMPYHGG-UHFFFAOYSA-N,HIGH CONFIDENCE,High permeability,53.7033337
Iso-Valeraldehyde,CC(C)CC=O,YGHRJJRRZDOVPD-UHFFFAOYSA-N,HIGH CONFIDENCE,High permeability,53.41742546
Dimethyl sulfoxide,CS(C)=O,IAZDPXIOMUYVGZ-UHFFFAOYSA-N,HIGH CONFIDENCE,High permeability,53.05773369
